numero;intervenant;nature_chantier;nature_travaux;etat;date_debut;date_fin;mesures_police;last_update;adresse;commune;code_insee;contact_tel;contact_mail;contact_url;gid
202206858;LYON - Direction De La Construction;Travaux sur une parcelle en limite d'espace public;Renfort chaussée en vue de la pose d'une grue;Ouvert;2024-06-03;2028-12-31;;2025-02-07 09:02:15.051362+01:00;10 rue Neyret, 69001  Rue des Tables Claudiennes, 69001;Lyon 1er;69381;;;;183025
202512731;ORANGE SA;Branchements réseau < 25 ml TELECOM, RMT ET VIDEO;Intervention sur des chambres, boites, armoires impactant le domaine public (télécom ou video);Validé;2025-12-24;2026-01-07;Circulation alternée, Restriction de jour;2025-12-16 15:02:03.127680+01:00;Face au 10 Route du Bruissin (Francheville);Francheville;69089;;;;199942
202512882;DCE / RT / Rive Gauche;Émergences et autres équipements d'assainissement;Remise à niveau / entretien des tampons et émergences d'assainissement;Validé;2025-12-15;2026-01-16;;2025-12-04 12:02:37.539147+01:00; Avenue d'Oschatz, de Rue Gaston Monmousseau a Avenue Marcel Cachin (Vénissieux);Venissieux;69259;04 28 67 55 00;;;199946
202512887;ORANGE SA;Branchements réseau < 25 ml TELECOM, RMT ET VIDEO;Réparation de branchement < 25 ml (télécom ou video);Validé;2025-12-12;2026-01-19;;2025-12-04 12:02:38.122193+01:00;à côté 3 Chemin de Chantegrillet (Francheville);Francheville;69089;;;;199947
202513013;DCE / RT / Rive Droite Sud;Construction, renouvellement et réparation réseau d'assainissement;Réparation de canalisation d'assainissement;Validé;2025-12-08;2025-12-19;;2025-12-04 12:02:38.969904+01:00;35 Rue Pierre Dupont (Lyon 1er Arrondissement);Lyon 1er;69381;04 28 67 55 20;;;199954
202513033;EAU DU GRAND LYON - LA REGIE ENTRETIEN;Construction, renouvellement et réparation réseau eau potable;Réparation de canalisation eau potable;Ouvert;2025-12-03;2025-12-28;;2025-12-04 12:02:38.962363+01:00;Boulevard de la Bataille de Stalingrad (Villeurbanne);Villeurbanne;69266;09 69 39 69 99;;;199955
202513055;DCE / RT / Rive Gauche;Émergences et autres équipements eau pluviale;Construction / Suppression Ouvrage de recueillis avec branchement;Validé;2025-12-15;2026-01-23;;2025-12-04 12:02:38.651237+01:00;21 Allée du Château (Mions);Mions;69283;04 28 67 55 00;;;199957
202513065;DCE / RT / Rive Droite Sud;Construction, renouvellement et réparation réseau d'assainissement;Réparation de canalisation d'assainissement;Validé;2025-12-15;2025-12-26;;2025-12-04 12:02:37.586403+01:00;Rue Joséphin Soulary (Lyon 4e Arrondissement);Lyon 4ème;69384;04 28 67 55 20;;;199958
202509635;LYON PARC AUTO;Création / aménagement de parking;Création / aménagement de parking aérien;Ouvert;2025-10-01;2026-01-31;;2025-12-04 15:02:17.203390+01:00;Rue des Tables Claudiennes (LYON 1);Lyon 1er;69381;;;;199960
202512771;EAU DU GRAND LYON - LA REGIE TRAVAUX PROGRAMMABLES;Branchements eau potable < à 25 ml;Construction branchement eau potable < 25 ml;Validé;2025-12-01;2026-01-30;;2025-12-16 15:02:03.910029+01:00;1 Chemin de la Mansion (Tassin-la-Demi-Lune);Tassin la Demi Lune;69244;09 69 39 69 99;;;199943
