adresse,commune,lat_t,lon_t
"10 rue Neyret, 69001  Rue des Tables Claudiennes, 69001",Lyon 1er,,
Face au 10 Route du Bruissin (Francheville),Francheville,,
" Avenue d'Oschatz, de Rue Gaston Monmousseau a Avenue Marcel Cachin (Vénissieux)",Venissieux,,
à côté 3 Chemin de Chantegrillet (Francheville),Francheville,,
35 Rue Pierre Dupont (Lyon 1er Arrondissement),Lyon 1er,45.771712,4.8218923
Boulevard de la Bataille de Stalingrad (Villeurbanne),Villeurbanne,45.7762014,4.8591643
21 Allée du Château (Mions),Mions,45.6612124,4.9590093
Rue Joséphin Soulary (Lyon 4e Arrondissement),Lyon 4ème,,
Rue des Tables Claudiennes (LYON 1),Lyon 1er,45.7710847,4.828735
1 Chemin de la Mansion (Tassin-la-Demi-Lune),Tassin la Demi Lune,45.7595331,4.7593777
Face au 202 Voie Romaine (Tassin-la-Demi-Lune),Tassin la Demi Lune,,
4 Allée du Textile (Vaulx-en-Velin),Vaulx en Velin,45.7593431,4.9264026
Du 53 Boulevard Marius Vivier-Merle jusqu'à la Place Charles Beraudier (Lyon 3ème Arrondissement),Lyon 3ème,,
du 156 AU 211 Route de Genas 69100 VILLEURBANNE,Villeurbanne,,
au 42 Boulevard des Canuts (Lyon 4ème Arrondissement),Lyon 4ème,,
35 ch des églantines,Marcy l'Etoile,45.7844549,4.7021944
Route de Lyon (Feyzin),Feyzin,45.6745411,4.8606455
face au 23-29 Boulevard de la Croix-Rousse (Lyon 1er Arrondissement),Lyon 1er,,
"-Avenue de la République : Entre l'Allée Picard et la Rue Germaine Tillion, -Carrefour : Rue Norbert Kügler / Avenue Pierre Sémard / Avenue de la République (Saint-Fons, Vénissieux)",Venissieux,,
Du 2 au 10 Rue de la Concorde lyon 8 de façades à façades.,Lyon 8ème,,
"Du 39 avenue de Verdun à la route d'Ecully, du 3 allée de l'Aqueduc à l'avenue de Verdun, du 3 rue de la Poste à l'avenue de Verdun, du 3 chemin Neuf à l'avenue de Verdun et Chemin de la Nouvelle Liasse du sentier des Pierres Dorées à l'avenue de Verdun (Dardilly)",Dardilly,,
Rue Louise (entre Rue Ferdinand Buisson et Carrefour Rue Ferdinand Buisson/Avenue du Château) à (Lyon 3e Arrondissement),Lyon 3ème,,
"Avenue Valioud (Sainte-Foy-lès-Lyon), sur le trottoir / angle Rue du Château.",Sainte Foy les Lyon,,
Projet T10 SYTRAL Avenue Tony Garnier du 1 au 85,Lyon 7ème,,
St Nestor / Gervais,Lyon 8ème,,
"entre le 20 Rue Marcel Plasse, et le Pont (Craponne)",Craponne,,
"-Du carrefour Avenue de Verdun / Route d'Ecully en passant par le Chemin de la Liasse jusqu'à 30m au Nord du carrefour Allée de l'Aurore / Chemin de la Liasse, -Chemin de la Nouvelle Liasse : Du carrefour Allée de l'Aurore sur 135m au Sud (Dardilly)",Dardilly,,
21 Rue du Neyrard (Sainte-Foy-lès-Lyon),Sainte Foy les Lyon,45.7342078,4.8020636
"Rue des Jasmins (Lyon 8e Arrondissement), Rue Antoine Dumont",Lyon 8ème,,
26 Chemin du Vieux Crépieux (Rillieux-la-Pape),Rillieux la Pape,45.797839,4.8782395
 5 Rue Abbé Glasberg (Vénissieux) PEI 5232 ,Venissieux,,
En face du 223 Route de Genas sur la place Kimmerling (Villeurbanne),Bron,,
4 Rue de Sévigné (Lyon 3e Arrondissement),Lyon 3ème,,
"Au droit du n°89, Rue Docteur Edmond Locard, (Lyon 5ème Arrondissement)",Lyon 5ème,,
Place Joséphine Baker parcelle privée (Villeurbanne),Villeurbanne,,
"Au droit du n°8, Avenue du Point du Jour (Lyon 5)",Lyon 5ème,,
573 Rue de la Maçonnière (Charly),Charly,45.645766,4.7985963
Face au 91 jusqu'à côté 57 Rue des Maures (Montanay),Montanay,,
Du 29 au 33 Rue Saint Nestor en traversant la Rue Saint-Maurice (Lyon 8ème Arrondissement),Lyon 8ème,,
Rue Antoine Charial (Lyon 3e Arrondissement),Lyon 3ème,,
Avenue Leclerc (Lyon 7e Arrondissement),Lyon 7ème,,
Rue Antoine Dumont (Lyon 8e Arrondissement),Lyon 8ème,45.7341113,4.8562623
Avenue Edouard Aynard (Écully),Ecully,45.7790347,4.7785175
42 Rue Lieutenant Colonel Girard (Lyon 7e Arrondissement),Lyon 7ème,,
"Rue Servient, trottoir côté Préfecture, à l'angle avec Cours de la Liberté (Lyon 3e Arrondissement)",Lyon 3ème,,
Du 61 au 63 Avenue Tony Garnier (Lyon 7e Arrondissement),Lyon 7ème,,
Face au 73 Grande Rue de la Croix-Rousse (Lyon 4ème Arrondissement),Lyon 4ème,,
3331Avenue Sidoine Apollinaire (Lyon 9e Arrondissement),Lyon 9ème,,
au 13 Rue Sébastien Gryphe (Lyon 7ème Arrondissement),Lyon 7ème,,
106-108 Boulevard de la Croix-Rousse (Lyon 1er et 4e Arrondissement),Lyon 1er,,
Rue Victor Hugo (Neuville-sur-Saône),Neuville sur Saone,,
