insee,nom,departement,region,epci,categorie,score,classe,palmares,palmares_regional,ressenti,securite,confort,efforts,services,score_2017,score_2019,score_2021,evolution_2021-2025
69003,Albigny-sur-Saône,69,84,200046977,"bourgs et villages",3.2509401709402,D,,,3.495726495726496,2.974358974358974,2.861538461538462,3.333333333333333,3.58974358974359,,,,
69029,Bron,69,84,200046977,"communes de banlieue",3.3099875156055,D,,,3.385143570536829,3.207865168539326,3.307116104868914,2.902621722846442,3.747191011235955,,2.98041,2.9948067632850237,0.105
69033,Cailloux-sur-Fontaines,69,84,200046977,"bourgs et villages",2.7183333333333,E,,,3.005952380952381,2.714285714285714,2.55,2.508928571428572,2.8125,,,,
69034,Caluire-et-Cuire,69,84,200046977,"communes de banlieue",2.764358974359,E,,,2.802884615384615,2.665064102564103,2.760096153846154,2.2734375,3.3203125,,2.39878,2.685968063872256,0.029
69040,Champagne-au-Mont-d'Or,69,84,200046977,"communes de banlieue",3.2702898550725,D,,,3.157004830917874,2.835748792270532,3.188405797101449,3.891304347826087,3.278985507246377,,,3.127570621468927,0.046
69044,Charbonnières-les-Bains,69,84,200046977,"communes de banlieue",3.0197849462366,E,,,3.198924731182796,2.991935483870968,3.109677419354839,2.887096774193548,2.911290322580645,,,2.9162643678160918,0.035
69046,Charly,69,84,200046977,"communes de banlieue",2.6294444444444,F,,,2.657407407407407,2.398148148148148,2.633333333333333,2.833333333333333,2.625,,,,
69063,Collonges-au-Mont-d'Or,69,84,200046977,"communes de banlieue",3.1352631578947,D,,,3.219298245614035,2.991228070175439,2.978947368421053,2.875,3.611842105263158,,,2.550133333333333,0.229
69068,Couzon-au-Mont-d'Or,69,84,200046977,"bourgs et villages",3.7753125,C,,,3.994791666666667,3.802083333333333,3.8375,3.53125,3.7109375,,,,
69069,Craponne,69,84,200046977,"communes de banlieue",3.0683154121864,E,,,3.139784946236559,2.888888888888889,3.060215053763441,2.787634408602151,3.46505376344086,,2.32823,2.4786666666666672,0.238
69071,Curis-au-Mont-d'Or,69,84,200046977,"bourgs et villages",3.4654545454545,D,,,3.465909090909091,3.170454545454545,3.009090909090909,3.295454545454545,4.386363636363637,,,,
69072,Dardilly,69,84,200046977,"communes de banlieue",3.2102592592593,D,,,3.353703703703704,3.053703703703704,3.113333333333333,3.522222222222222,3.008333333333333,,,,
69081,Écully,69,84,200046977,"communes de banlieue",3.1875886524823,D,,,3.26418439716312,2.945035460992908,3.053191489361702,3.191489361702128,3.484042553191489,,2.52091,2.9508119658119663,0.08
69088,Fontaines-sur-Saône,69,84,200046977,"communes de banlieue",3.2974509803922,D,,,3.254901960784314,2.970588235294118,3.403921568627451,3.073529411764706,3.784313725490196,,,2.767566137566138,0.191
69089,Francheville,69,84,200046977,"communes de banlieue",2.7297517730496,E,,,2.803191489361702,2.556737588652482,2.738297872340425,2.51063829787234,3.039893617021276,,2.22071,2.5916129032258057,0.053
69091,Givors,69,84,200046977,"communes de banlieue",2.9880555555556,E,,,3.072916666666667,2.798611111111111,3.1,3.125,2.84375,,2.30153,2.4627513227513234,0.213
69100,Irigny,69,84,200046977,"communes de banlieue",2.9336170212766,E,,,3.184397163120567,2.975177304964539,2.625531914893617,2.925531914893617,2.957446808510638,,,3.1272764227642282,-0.066
69116,Limonest,69,84,200046977,"communes de banlieue",2.5766666666667,F,,,2.647435897435897,2.416666666666667,2.569230769230769,2.5,2.75,,,,
69123,Lyon,69,84,200046977,"grandes villes",4.0331724118017,B,"4ème Grandes Villes ",,3.840421326104146,3.624400022587385,4.011015082189459,4.256395053362697,4.433677790953753,,3.19078,3.5130104377862836,0.148
69127,Marcy-l'Étoile,69,84,200046977,"communes de banlieue",2.9169696969697,E,,,3.142424242424243,2.787878787878788,2.872727272727273,2.795454545454545,2.986363636363636,,,2.683148148148149,0.087
69142,"La Mulatière",69,84,200046977,"communes de banlieue",2.6849707602339,F,,,2.619883040935672,2.690058479532164,2.680701754385965,2.657894736842105,2.776315789473684,,2.04298,2.3732738095238095,0.131
69143,Neuville-sur-Saône,69,84,200046977,"communes de banlieue",3.5852525252525,C,,,3.434343434343434,3.313131313131313,3.663636363636364,3.727272727272727,3.787878787878788,,,3.303004694835682,0.084
69149,Oullins-Pierre-Bénite,69,84,200046977,"communes de banlieue",2.8943909348442,E,,,2.751652502360717,2.616619452313503,2.976203966005666,2.276912181303116,3.85056657223796,,3.00259,2.8564637681159417,0.013
69153,Poleymieux-au-Mont-d'Or,69,84,200046977,"bourgs et villages",2.348,F,,,2.641666666666667,2.108333333333333,2.04,2.2375,2.7125,,,,
69191,Saint-Cyr-au-Mont-d'Or,69,84,200046977,"communes de banlieue",2.9013095238095,E,,,2.907738095238095,2.818452380952381,2.825,2.941964285714286,3.013392857142857,,,2.622469135802469,0.106
69194,Saint-Didier-au-Mont-d'Or,69,84,200046977,"communes de banlieue",2.8536538461538,E,,,2.871794871794872,2.618589743589744,2.667307692307692,3.117788461538462,2.992788461538462,,2.02109,2.250647482014389,0.268
69199,Saint-Fons,69,84,200046977,"communes de banlieue",2.9351724137931,E,,,2.82183908045977,2.729885057471265,3.089655172413793,2.823275862068965,3.211206896551724,,2.43514,2.394666666666667,0.226
69202,Sainte-Foy-lès-Lyon,69,84,200046977,"communes de banlieue",3.3546913580247,D,,,3.439506172839506,3.258024691358025,3.348148148148148,3.212962962962963,3.514814814814815,,2.75271,3.149314420803782,0.065
69204,Saint-Genis-Laval,69,84,200046977,"communes de banlieue",3.3733656957929,D,,,3.357605177993527,3.140776699029126,3.23495145631068,3.235436893203883,3.898058252427184,,2.68856,3.1816816816816806,0.06
69205,Saint-Genis-les-Ollières,69,84,200046977,"communes de banlieue",2.9062280701754,E,,,3.06140350877193,2.657894736842105,3.028947368421053,2.786184210526316,2.996710526315789,,,2.743968253968254,0.059
69207,Saint-Germain-au-Mont-d'Or,69,84,200046977,"bourgs et villages",3.6458706467662,C,,,3.917910447761194,3.435323383084577,3.361194029850746,3.858208955223881,3.656716417910448,,,,
69244,Tassin-la-Demi-Lune,69,84,200046977,"communes de banlieue",3.0562248995984,E,,,3.012048192771084,2.808232931726907,3.126506024096385,2.748493975903615,3.585843373493976,,2.36992,2.6544444444444437,0.151
69250,"La Tour-de-Salvagny",69,84,200046977,"communes de banlieue",3.3381081081081,D,,,3.711711711711712,3.518018018018018,3.183783783783784,3.29054054054054,2.986486486486486,,,2.5209803921568614,0.324
69256,Vaulx-en-Velin,69,84,200046977,"communes de banlieue",2.7948531951641,E,,,2.72020725388601,2.696027633851468,2.824870466321244,2.523316062176166,3.209844559585492,,2.4574,2.8441071428571445,-0.017
69259,Vénissieux,69,84,200046977,"communes de banlieue",2.9188278388278,E,,,2.937728937728938,2.915750915750916,2.960439560439561,2.653846153846154,3.126373626373626,,2.75435,2.7270781893004115,0.071
69266,Villeurbanne,69,84,200046977,"communes de banlieue",3.6189180834621,C,,,3.454404945904173,3.357032457496136,3.457032457496136,3.490533230293663,4.335587326120557,,3.0261,3.3116083333333295,0.093
69271,Chassieu,69,84,200046977,"communes de banlieue",3.5503525641026,C,,,3.813301282051282,3.53125,3.741346153846154,3.652644230769231,3.013221153846154,,3.28186,3.3295959595959594,0.066
69273,Corbas,69,84,200046977,"communes de banlieue",3.0117486338798,E,,,3.450819672131148,3.046448087431694,3.016393442622951,2.89344262295082,2.651639344262295,,,2.8072463768115923,0.073
