site_name;count;start_datetime;end_datetime;longitude;latitude
Lyon 7_Pont Raymond Barre;2;2023-04-06 01:00:00+02:00;2023-04-06 02:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;6;2023-04-06 00:00:00+02:00;2023-04-06 01:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;21;2023-04-05 23:00:00+02:00;2023-04-06 00:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;18;2023-04-05 22:00:00+02:00;2023-04-05 23:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;28;2023-04-05 21:00:00+02:00;2023-04-05 22:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;59;2023-04-05 20:00:00+02:00;2023-04-05 21:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;168;2023-04-05 19:00:00+02:00;2023-04-05 20:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;274;2023-04-05 18:00:00+02:00;2023-04-05 19:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;244;2023-04-05 17:00:00+02:00;2023-04-05 18:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;128;2023-04-05 16:00:00+02:00;2023-04-05 17:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;53;2023-04-05 15:00:00+02:00;2023-04-05 16:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;47;2023-04-05 14:00:00+02:00;2023-04-05 15:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;71;2023-04-05 13:00:00+02:00;2023-04-05 14:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;90;2023-04-05 12:00:00+02:00;2023-04-05 13:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;48;2023-04-05 11:00:00+02:00;2023-04-05 12:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;37;2023-04-05 10:00:00+02:00;2023-04-05 11:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;78;2023-04-05 09:00:00+02:00;2023-04-05 10:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;192;2023-04-05 08:00:00+02:00;2023-04-05 09:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;77;2023-04-05 07:00:00+02:00;2023-04-05 08:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;21;2023-04-05 06:00:00+02:00;2023-04-05 07:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;4;2023-04-05 05:00:00+02:00;2023-04-05 06:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;2;2023-04-05 04:00:00+02:00;2023-04-05 05:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;3;2023-04-05 03:00:00+02:00;2023-04-05 04:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;4;2023-04-05 01:00:00+02:00;2023-04-05 02:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;9;2023-04-05 00:00:00+02:00;2023-04-05 01:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;17;2023-04-04 23:00:00+02:00;2023-04-05 00:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;31;2023-04-04 22:00:00+02:00;2023-04-04 23:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;34;2023-04-04 21:00:00+02:00;2023-04-04 22:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;64;2023-04-04 20:00:00+02:00;2023-04-04 21:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;184;2023-04-04 19:00:00+02:00;2023-04-04 20:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;332;2023-04-04 18:00:00+02:00;2023-04-04 19:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;315;2023-04-04 17:00:00+02:00;2023-04-04 18:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;152;2023-04-04 16:00:00+02:00;2023-04-04 17:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;56;2023-04-04 15:00:00+02:00;2023-04-04 16:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;54;2023-04-04 14:00:00+02:00;2023-04-04 15:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;62;2023-04-04 13:00:00+02:00;2023-04-04 14:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;69;2023-04-04 12:00:00+02:00;2023-04-04 13:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;33;2023-04-04 11:00:00+02:00;2023-04-04 12:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;38;2023-04-04 10:00:00+02:00;2023-04-04 11:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;94;2023-04-04 09:00:00+02:00;2023-04-04 10:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;243;2023-04-04 08:00:00+02:00;2023-04-04 09:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;97;2023-04-04 07:00:00+02:00;2023-04-04 08:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;17;2023-04-04 06:00:00+02:00;2023-04-04 07:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;1;2023-04-04 05:00:00+02:00;2023-04-04 06:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;1;2023-04-04 04:00:00+02:00;2023-04-04 05:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;4;2023-04-04 03:00:00+02:00;2023-04-04 04:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;2;2023-04-04 02:00:00+02:00;2023-04-04 03:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;2;2023-04-04 01:00:00+02:00;2023-04-04 02:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;3;2023-04-04 00:00:00+02:00;2023-04-04 01:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;4;2023-04-03 23:00:00+02:00;2023-04-04 00:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;17;2023-04-03 22:00:00+02:00;2023-04-03 23:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;15;2023-04-03 21:00:00+02:00;2023-04-03 22:00:00+02:00;4.821243;45.73200204
Lyon 7_Pont Raymond Barre;58;2023-04-03 20:00:00+02:00;2023-04-03 21:00:00+02:00;4.821243;45.73200204
