Adresse;count;start_datetime;end_datetime;longitude;latitude
Avenue des Cottages;135.0;2024-12-03 07:30:00;2024-12-03 09:00:00;2.811628;48.377262
Avenue des Cottages;7.0;2024-12-03 07:30:00;2024-12-03 09:00:00;2.811628;48.377262
Avenue des Cottages;25.0;2024-12-03 07:30:00;2024-12-03 09:00:00;2.811628;48.377262
Avenue des Cottages;5.0;2024-12-03 07:30:00;2024-12-03 09:00:00;2.811628;48.377262
Avenue des Cottages;43.0;2024-12-03 07:30:00;2024-12-03 09:00:00;2.811628;48.377262
Avenue des Cottages;2.0;2024-12-03 07:30:00;2024-12-03 09:00:00;2.811628;48.377262
Avenue des Cottages;17.0;2024-12-03 07:30:00;2024-12-03 09:00:00;2.811628;48.377262
Avenue des Cottages;1.0;2024-12-03 07:30:00;2024-12-03 09:00:00;2.811628;48.377262
Avenue des Cottages;27.0;2024-12-03 07:30:00;2024-12-03 09:00:00;2.811628;48.377262
Avenue des Cottages;4.0;2024-12-03 07:30:00;2024-12-03 09:00:00;2.811628;48.377262
Avenue des Cottages;88.0;2022-12-06 07:30:00;2022-12-06 09:00:00;2.811628;48.377262
Bas Montée Bonnafous;6.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.837716;45.774843
Bas Montée Bonnafous;1.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.837716;45.774843
Bas Montée Bonnafous;1.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.837716;45.774843
Bas Montée Bonnafous;2.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.837716;45.774843
Bas Montée Bonnafous;2.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.837716;45.774843
Bas Montée Bonnafous;1.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.837716;45.774843
Bas Montée Bonnafous;1.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.837716;45.774843
Bas Montée Bonnafous;1.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.837716;45.774843
Bas Montée Bonnafous;3.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.837716;45.774843
Bas Montée Bonnafous;4.0;2024-12-03 08:00:00;2024-12-03 08:15:00;4.837716;45.774843
Bas Montée Bonnafous;4.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.837716;45.774843
Bas Montée Bonnafous;2.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.837716;45.774843
Bas Montée Bonnafous;1.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.837716;45.774843
Bas Montée Bonnafous;1.0;2024-12-03 08:15:00;2024-12-03 08:30:00;4.837716;45.774843
Bas Montée Bonnafous;1.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.837716;45.774843
Bas Montée Bonnafous;3.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.837716;45.774843
Bas Montée Bonnafous;10.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.837716;45.774843
Bas Montée Bonnafous;2.0;2024-12-03 08:30:00;2024-12-03 08:45:00;4.837716;45.774843
Bas Montée Bonnafous;1.0;2024-12-03 08:45:00;2024-12-03 09:00:00;4.837716;45.774843
Bas Montée Bonnafous;1.0;2024-12-03 08:45:00;2024-12-03 09:00:00;4.837716;45.774843
Bas Montée Bonnafous;3.0;2024-12-03 08:45:00;2024-12-03 09:00:00;4.837716;45.774843
Bas Montée Bonnafous;8.0;2024-12-03 08:45:00;2024-12-03 09:00:00;4.837716;45.774843
Bas Montée des Forts;3.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.832572;45.793637
Bas Montée des Forts;2.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.832572;45.793637
Bas Montée des Forts;3.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.832572;45.793637
Bas Montée des Forts;2.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.832572;45.793637
Bas Montée des Forts;2.0;2024-12-03 07:30:00;2024-12-03 07:45:00;4.832572;45.793637
Bas Montée des Forts;3.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.832572;45.793637
Bas Montée des Forts;2.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.832572;45.793637
Bas Montée des Forts;1.0;2024-12-03 07:45:00;2024-12-03 08:00:00;4.832572;45.793637
