longitude,latitude,commune_insee,description
4.836445341,45.758437683,69123,
4.85954302,45.731104987,69123,
4.833717002,45.731325458,69123,
4.867706711,45.729358056,69123,
4.797329156,45.803996633,69194,Éboulement 
4.863795432,45.763639697,69123,"Transformation de la piste cyclable adjointe à la piste de bus en double sens cyclable (sens opposé aux voitures) sur un carrefour mal indiqué pour les automobilistes, avec peu d'espace."
4.865337401,45.766321529,69123,discontinuité des aménagements cyclables côté Lyon
4.87557315,45.769984946,69266,marquages au sol d'une piste cyclable mais dans la pratique il est impossible de croiser des voitures
4.87531999,45.771937705,69266,les voitures prennent l'axe Francis de Pressensé en sens interdit entre la rue Hippolyte Kahn et la rue Viret. Les aménagements ne sont pas dissuasifs et il n'y a pas de contrôles
4.853396287,45.741487088,69123,Toute l'Avenue BERTHELOT
4.874168478,45.738423192,69123,Rue Maryse Bastié: pas de piste cyclable à contre-sens et itinéraire alternatif très long
4.869377621,45.736407856,69123,Carrefour du Bachut: dangereux pour les deux roues
4.88372486,45.768441897,69266,
4.890047053,45.759841983,69266,
4.873711502,45.764150599,69266,
4.912543296,45.732537789,69029,Avenue Franklin Roosevelt 
4.920443538,45.723212519,69029,Decathlon pas accessible depuis Parilly
4.916355697,45.728892887,69029,
4.900492552,45.765627611,69266,"le cours Émile Zola, de la station Cusset à la station Charpennes "
4.870541611,45.771752747,69266,"Rue Francis de Pressensé : aménagement à créer sur la portion où il n'est que d'un côté de la route, solution autre que partage vélo-voiture à trouver "
4.897685708,45.765904369,69266,"route partagée vélo-voiture, nids de poule "
4.85687717,45.753343052,69123,
4.86603741,45.73834338,69123,
4.860187753,45.741808971,69123,
4.835933876,45.756333274,69123,rue de la barre
4.842899557,45.755339571,69123,
4.756660751,45.737293687,69089,"""normalement"" route limitée à 30km mais personne ne respecte cette limitation, pas même les bus TCL qui ne regardent pas dans leurs rétroviseurs apres un arrêt. Route en travaux, revêtement irrégulier. Cette route est très fréquentée tous les matins par des enfants qui se rendent à l'école du Bourg à vélo, les voitures roulent beaucoup trop vite. Il faudrait une piste cyclable  et non une bande et davantage de contrôle de police pour les exces de vitesse. "
4.800764317,45.810644101,69194,Les voitures ne s'arrêtent pas au stop. Les vélos arrivent du ch des barres qui est en sens unique
4.807533077,45.790581175,69194,L'avenue Pasteur est dangereuse mais il y a la place pour voitures & vélos
