insee,Réponses,Sécurité_Moy,Top_10_Problemes
"Un réseau cyclable complet et sans coupure""",6397,,Violence routière (5) | Conflit piétons (2) | Signalisation (1) | Stationnement gênant (1)
"Vitesse et proximité dangereuses du conducteur•ice""",6169,,
69123,6167,3.96,Vitesse excessive (2446) | Infrastructure manquante (2020) | Entretien pistes (1910) | Stationnement gênant (885) | Violence routière (270) | Conflit piétons (145) | Signalisation (33) | Carrefours dangereux (20) | Stationnement vélo (3)
Refus de priorité et queue de poisson du conducteur•ice,3832,,
Des itinéraires vélo rapides et directs,2503,,
Violence verbale alors que vous circuliez sur un espace partagé avec les véhicules motorisés,2295,,
Limiter le trafic motorisé en ville,2018,,
"Des stationnements adaptés et sécurisés pour les vélos (courte et longue durées)""",1675,,Violence routière (3) | Infrastructure manquante (1) | Signalisation (1) | Conflit piétons (1)
Entretenir les pistes et bandes cyclables,1483,,
69266,1335,3.44,Vitesse excessive (597) | Infrastructure manquante (511) | Entretien pistes (496) | Stationnement gênant (98) | Violence routière (60) | Conflit piétons (29) | Signalisation (3) | Carrefours dangereux (1)
Des stationnements adaptés et sécurisés pour les vélos (courte et longue durées),1225,,
Faciliter le transport de vélos dans les transports publics,949,,
Violence physique (contact avec un véhicule ou mouvement du véhicule vers vous,897,3.23,
Violence physique alors que vous circuliez sur un espace partagé avec les véhicules motorisés,837,,
"Limiter le trafic motorisé en ville""",831,,Violence routière (2)
Davantage de campagnes de communication autour du vélo,813,,
"Des itinéraires vélo rapides et directs""",616,,Stationnement gênant (1) | Carrefours dangereux (1) | Signalisation (1)
"Violence verbale alors que vous circuliez sur un espace partagé avec les véhicules motorisés""",558,,
69034,436,2.81,Vitesse excessive (206) | Infrastructure manquante (149) | Entretien pistes (140) | Stationnement gênant (35) | Violence routière (19) | Conflit piétons (16) | Signalisation (2) | Carrefours dangereux (1)
"Davantage de campagnes de communication autour du vélo""",402,,Violence routière (1)
69149,385,2.59,Vitesse excessive (184) | Infrastructure manquante (89) | Entretien pistes (84) | Stationnement gênant (47) | Violence routière (18) | Conflit piétons (8) | Signalisation (2)
"Refus de priorité et queue de poisson du conducteur•ice""",369,,
Davantage de vélos en libre-service,307,,
"Faciliter le transport de vélos dans les transports publics""",291,,Signalisation (1) | Vitesse excessive (1) | Violence routière (1)
69029,284,3.56,Vitesse excessive (118) | Infrastructure manquante (81) | Entretien pistes (75) | Stationnement gênant (38) | Violence routière (9) | Conflit piétons (5) | Signalisation (1) | Carrefours dangereux (1)
69282,268,3.22,Infrastructure manquante (106) | Entretien pistes (99) | Vitesse excessive (85) | Stationnement gênant (42) | Violence routière (10) | Conflit piétons (6) | Signalisation (1)
69271,220,3.97,Infrastructure manquante (88) | Entretien pistes (81) | Vitesse excessive (65) | Stationnement gênant (36) | Violence routière (10) | Conflit piétons (7) | Signalisation (1)
69256,199,2.62,Vitesse excessive (92) | Entretien pistes (75) | Infrastructure manquante (75) | Stationnement gênant (10) | Violence routière (9) | Conflit piétons (3) | Signalisation (1)
"Davantage de vélos en libre-service""",195,,Infrastructure manquante (1)
69290,192,2.9,Infrastructure manquante (103) | Entretien pistes (102) | Vitesse excessive (52) | Stationnement gênant (16) | Violence routière (9) | Conflit piétons (5) | Carrefours dangereux (1)
"Entretenir les pistes et bandes cyclables""",190,,
69244,183,2.9,Vitesse excessive (81) | Infrastructure manquante (59) | Entretien pistes (57) | Stationnement gênant (13) | Violence routière (10) | Conflit piétons (8) | Carrefours dangereux (1) | Signalisation (1)
69275,158,3.02,Infrastructure manquante (72) | Entretien pistes (66) | Vitesse excessive (65) | Stationnement gênant (14) | Violence routière (11) | Conflit piétons (6) | Stationnement vélo (1) | Signalisation (1)
69202,155,3.5,Vitesse excessive (54) | Infrastructure manquante (41) | Entretien pistes (38) | Stationnement gênant (25) | Violence routière (7) | Conflit piétons (4)
69194,135,2.69,Vitesse excessive (56) | Infrastructure manquante (31) | Entretien pistes (30) | Stationnement gênant (10) | Violence routière (4) | Conflit piétons (1)
69286,117,3.08,Infrastructure manquante (43) | Entretien pistes (38) | Vitesse excessive (35) | Stationnement gênant (14) | Violence routière (7) | Conflit piétons (3) | Carrefours dangereux (1) | Stationnement vélo (1)
69089,109,2.66,Vitesse excessive (42) | Infrastructure manquante (32) | Entretien pistes (29) | Stationnement gênant (9) | Violence routière (5) | Conflit piétons (4)
69204,107,3.46,Vitesse excessive (52) | Infrastructure manquante (28) | Entretien pistes (25) | Stationnement gênant (17) | Violence routière (6) | Conflit piétons (4)
69069,107,3.1,Vitesse excessive (40) | Infrastructure manquante (38) | Entretien pistes (36) | Stationnement gênant (11) | Violence routière (2) | Conflit piétons (1) | Signalisation (1)
69040,100,3.14,Vitesse excessive (41) | Infrastructure manquante (14) | Entretien pistes (14) | Stationnement gênant (9) | Violence routière (3) | Conflit piétons (2)
69072,100,3.36,Vitesse excessive (34) | Infrastructure manquante (30) | Entretien pistes (27) | Stationnement gênant (9) | Violence routière (5) | Conflit piétons (4)
69259,99,2.97,Vitesse excessive (46) | Infrastructure manquante (35) | Entretien pistes (35) | Stationnement gênant (4) | Violence routière (3) | Conflit piétons (1)
69081,99,3.31,Vitesse excessive (43) | Infrastructure manquante (37) | Entretien pistes (35) | Stationnement gênant (11) | Violence routière (5) | Conflit piétons (4)
69292,94,3.87,Infrastructure manquante (31) | Entretien pistes (30) | Vitesse excessive (25) | Stationnement gênant (9) | Violence routière (7) | Conflit piétons (4) | Carrefours dangereux (1)
69205,83,2.87,Infrastructure manquante (33) | Entretien pistes (30) | Vitesse excessive (27) | Stationnement gênant (8) | Violence routière (3) | Conflit piétons (3)
69279,80,3.3,Infrastructure manquante (34) | Entretien pistes (32) | Vitesse excessive (29) | Stationnement gênant (8) | Violence routière (4)
69143,78,3.5,Vitesse excessive (31) | Infrastructure manquante (25) | Entretien pistes (21) | Stationnement gênant (6) | Conflit piétons (6) | Violence routière (6) | Signalisation (2)
69207,75,3.99,Vitesse excessive (27) | Infrastructure manquante (25) | Entretien pistes (22) | Stationnement gênant (8) | Violence routière (3) | Conflit piétons (2)
69044,74,3.15,Vitesse excessive (26) | Infrastructure manquante (23) | Entretien pistes (23) | Stationnement gênant (8)
