insee,latitude,longitude,description,categorie_detectee,score_urgence,score_facilite,niveau_facilite_label
69029,45.751746241,4.904017927,"route trop étroite, circulation, travaux",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69040,45.80017696,4.786920584,"Trop étroit, bande inexistante",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.773488407,4.792498269,"trottoir très dangereux: beaucoup de bosses, vive allure dans la descente avec un trottoir partagé avec les piétons et les sorties de résidence et de la station de lavage",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69199,45.708164436,4.857192725,Travaux et rue étroite,Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.753612411,4.859056643,Des travaux partout. Les piétons n'ont pas de trottoir ils se retrouvent donc sur la piste cyclable qui est à contresens des voitures donc idem pour les vélos. C'est dangereux si on veut pouvoir les dépasser car on se retrouve à contres sens des voitures sans aménagements cyclables. Encore une fois la piste cyclable s'arrête face à une barrière de travaux on est obligés d'aller sur le même chemin que les piétons donc pas pratique. Et très dangereux le contre sens car les voitures roulent vite.,Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69029,45.750932027,4.907770138,"Lorsque je remonte la Rte de Gênas vers l'Est, je n'utilise pas la bande cyclable qui passe sur le trottoir. Le feu vélo pour retourner sur la route (sous le pont) est vert en même temps que celui des véhicules motorisés : l'insertion est dangereuse.
Je me sens plus en sécurité en restant sur la route pour traverser le carrefour et passer sous le pont.",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.744007944,4.87043446,Voie étroite pour vélo en contresens pas du tout sécurisé entre voiture circulant et voiture garée,Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.754081077,4.862881214,Le passage est trop étroit et utilisé par les pietons,Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.78953814,4.789662721,"les pistes cyclables sont délimités par des énormes blocs de béton qui sont déplacés par des artisans qui se garent la journée, non remis également le soir, et qui coupent la pise cyclable en 2. circulation dangereuse à mi parcours, avec obstacle obliger de retourner sur la route",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69266,45.755642259,4.89176824,"Travaux du T3 : piste cyclable parfois encombrée de véhicules, très fréquentée par beaucoup d’usagers, voies étroites, des pâtés de goudron sur la piste cyclable qui deviennent des obstacles et entraînent un risque de chute",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69081,45.775632999,4.794952394,"De manière générale, la rue Marietton dans son ensemble est un désastre. La circulation automobile y est dense alors qu'elle accueille aussi des flux piétons et vélo nombreux. La rue est étroite sans aucun aménagement, et comme elle est souvent embouteillée, les automobilistes sont très peu patients, accélèrent brutalement, ou encombrent les carrefours au feu rouge.
Plus précisément, le carrefour avec le boulevard de la Duchère est un océan d'asphalte alors qu'il donne accès au parc du Vallon.",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69088,45.815798401,4.862970278,"Pas d'aménagement cyclable en haut de la montée Roy, chaussée étroite, on est coincé au milieu des voitures et bus.",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69244,45.773405572,4.792574146,rue du bourbonnais ne peut pas être prise à contre sens à vélo et il n'sxiste aucun itinéraire alternatif pour rejoindre Tassin. Conséquence : les cyclistes prennent les trottoirs ou roulent à contre-sens ce qui est très dangereux.,Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.753865687,4.861667766,Impossible de ne pas utiliser le trottoir!,Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.753669263,4.858852189,"Toute l'avenue est très dangereuse depuis les travaux, la voie laissée aux vélos est trop étroite et en permanence obstrué par les barrières et panneaux des travaux",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.777381016,4.803557647,Aucune piste et rues étroites,Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69040,45.800159227,4.78704164,On se sent très vulnérable au milieu de ce carrefour en vélo - je l’évite tous les jours en passant par le trottoirs,Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.753398285,4.856897366,"Travaux dangereux pour les vélos, étroits, partages avec voiture",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.773581906,4.794874555,Difficultés pour tourner à gauche : voitures en face + trottoir trop haut passage du Béal,Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.727757277,4.823922223,"fin de piste cyclable, croisement avec des rues où la piste cyclable est à double sens (obligé de passé sur les esplanades, trottoirs du quartiers, et ce jusqu'à la Cité internationale où le sparents sont obligés de déposer leurs enfant en double file sur cette rue étroite
pavés au sols qui sont glissants les jours de pluie (avec aussi en hiver, les feuilles des arbres qui glissent sur les pavés)",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69029,45.7483668,4.917075637,"Dangereux ici, il vaut mieux rouler sur le trottoir, qui n'est pas fait pour nous...",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69081,45.774549245,4.793553219,"Pas de bande cyclable, vehicules circulant a grande vitesse en ligne droite, route en mauvais etat sur les bordures, travaux qui reduisent l'espace en bord de route",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69266,45.75871692,4.887219585,"Avec les travaux, nids de poules en permanence (parfois sur une place mal éclairée ou pas éclairée) et contre sens cyclable non assuré (réservé piétons alors que les piétons ont un trottoir refait à neuf)",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69266,45.754160055,4.891514355,"Travaux du tram, chaussée déportée à l'occasion sur le trottoir, enrobée avec des trous",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.75344305,4.85751337,"Sur toute l'avenue : travaux depuis plus d'un an, chaussée très dégradée, voie étroite, les voitures ne respectent pas les vélos, accidents...",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.773553084,4.793241554,"Velo à contre-sens dans la montée faut d'alternatives. En face voiture qui arrivent rapidement car rue qui descend. En haut de la rue, aucunes issues pour les vélos qui sont obligés de prendre le trottoir",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.753437352,4.857447674,"En travaux depuis février 2024, le passage à vélo est compliqué, la route très abimée, la rue étroite et la cohabitation avec les voitures compliquées",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69081,45.772836593,4.791602167,Voie piéton très étroite juste à côté voie cyclable,Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.753392044,4.85718217,"Toute l'avenue Félix Faure, c'est temporaire puisqu'en travaux mais c'est dangereux en ce moment d'y passer. La rue est très étroite et il y a des trous partout.",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.726296857,4.838471939,Poteaux au milieu de la piste cyclable,Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69266,45.75782846,4.883634653,"Circulation très dense et voie étroite à cause des travaux, la piste en cours de construction n'avance plus depuis plusieurs mois",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69266,45.757646398,4.883135059,Piste vélo inexistante pendant led travaux et rue très étroit,Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.753270068,4.856018807,"travaux depuis 1 an avec contre sens cyclable trop étroit, en très mauvais état et non protégé",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.773613877,4.795050102,Impossibilité de remonter la rue du Bourbonnais jusqu'à la rue Marietton sans passer par le trottoir,Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.754166228,4.863625713,2 voies de vélo et 2 voies de piétons réduites à une largeur de 1m. On en attend combien de morts ? Et pas de solution proche.,Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.753376379,4.857025493,"Rue tres étroite, en travaux, qui amène à de nombreux conflits",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.72597415,4.840090389,Travaux en cours. Les motos empruntent le trottoir  quand il y a des bouchons,Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69256,45.763694888,4.933285985,"carrefour très mal fait, avec des franchissements de trottoirs trop hauts ou trop étroits, que l'on évite. j'y ai déjà eu un accident, il y a déjà eu un mort",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69040,45.794185761,4.793486402,Manque un peu de largeur surtout dans le sens de la montée où on a des différentiels de vitesse importants avec les voitures. Il est parfois compliqué de tourner à gauche.,Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69256,45.777295666,4.919687391,"Aucune alternative lors des travaux, rues étroites avec beaucoup de voitures",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.726133097,4.839267421,"passage étroit non adapté aux piétons, cyclistes, trotinettes le long des travaux du tram T10. Aucune signalétique adaptée, tapis bleus galère, route poussiéreuse, pleine de gravats",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69088,45.827310302,4.85964075,"Vitesse excessive, passage vers la piste cyclable dans le sens descente (bande cyclable très étroite et non respectée)",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.773573056,4.794787132,Route à la fois étroite et itinéraire obligé pour rejoindre lyon 9.,Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69029,45.750894513,4.907931107,"Passage sous périphérique, 8 voies voiture et vélo sur trottoir avec barrière au milieu",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69266,45.775075282,4.878581515,Rue trop étroite et véhicules motorisés à contresens,Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69266,45.75867995,4.887221441,aucune piste cyclables / délimitation au sol pour les vélos (travaux sur cette rue) à contresens des voitures alors que c'est étroit et que les voitures vont vites,Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69256,45.779442198,4.910719557,Piste cyclable trop étroite et partage piétons dangereux avec les arrêts de bus,Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69266,45.751254803,4.906930743,"aménagement cyclable dangereux : passage sur trottoir pour ressortir au milieu des vooitures quand elles ont vert, 2 voies voitures de véhicules qui roulent vite sans bande cyclable une fois passé le pont du periph direction est",Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69266,45.75895162,4.888201229,voie de bus non respectée par les automobilistes + aménagements de travaux réduisant la largeur des voies = doublements dangereux pour les usagers légitimes de la voie de bus par des véhicules motorisés.,Aménagement inadapté,2,1,🟢 Facile (Quick Win)
69123,45.752703004,4.89764633,Travaux pas d'itinéraire bis,Travaux & Maintenance,2,1,🟢 Facile (Quick Win)
