insee,latitude,longitude,description,categorie_detectee,score_urgence,score_facilite,niveau_facilite_label,flux_proche,location_flux,distance_flux_m,priorite_emoji,priorite_label,priorite_score,score_importance_global
69123,45.731632294,4.823611978,"Une des rares fois où je suis tombé. Je cherchais mon chemin pour regagner la piste cyclable des quais. Des travaux, des voitures qui roulent vite et je cherchais mon chemin. Bilan je n'ai pas vu un rail de tramway et ma roue s'est prise dedans",Infrastructure manquante,3,3,🔴 Difficile (Structurel),8884.0,Lyon 7_Pont Raymond Barre,188.41118593330376,🔴,CRITIQUE,4,99.47
69123,45.731734407,4.823699334,Problème de co-visibilité entre cyclistes et automobilistes + problème de lisibilité de la trajectoire réservée aux cyclistes. Potentiellement dangereux dans un carrefour parfois très fréquentés et avec des allures d'automobilistes rarement adaptées,Carrefours dangereux,3,3,🔴 Difficile (Structurel),8884.0,Lyon 7_Pont Raymond Barre,192.95937952035064,🔴,CRITIQUE,4,99.46
69123,45.731553036,4.82382422,"travaux absolument insupportables depuis 2 ans, sans aucun passage pour les vélos qui sont nombreux à venir des quais et se retrouvent soit obligés de contourner en descendant du vélo, soit de se mettre dans la circulation atroce sur ce gros carrefour",Carrefours dangereux,3,3,🔴 Difficile (Structurel),8884.0,Lyon 7_Pont Raymond Barre,206.4715446586335,🔴,CRITIQUE,4,99.41
69123,45.731621036,4.823929001,Accès à la voie cyclable des berges mal aménagé,Infrastructure manquante,3,3,🔴 Difficile (Structurel),8884.0,Lyon 7_Pont Raymond Barre,212.73789736502124,🔴,CRITIQUE,4,99.39
69123,45.731699542,4.824009888,Pas de continuité entre piste cyclable avenue Debourg et le pont,Infrastructure manquante,3,3,🔴 Difficile (Structurel),8884.0,Lyon 7_Pont Raymond Barre,217.37293796714056,🔴,CRITIQUE,4,99.38
69123,45.731604798,4.824012967,"Depuis le début des travaux du tram, traversée entre les quais du Rhône et debourg bien difficile",Carrefours dangereux,3,3,🔴 Difficile (Structurel),8884.0,Lyon 7_Pont Raymond Barre,219.48457841322795,🔴,CRITIQUE,4,99.37
69123,45.731730087,4.824050523,Jonction avenue Debourg pont Raymond Barre compliquée (même avant les travaux du tram en cours). Manque de signalétique dans cette zone.,Infrastructure manquante,3,3,🔴 Difficile (Structurel),8884.0,Lyon 7_Pont Raymond Barre,219.9968287100652,🔴,CRITIQUE,4,99.37
69123,45.731698475,4.824158754,"Travaux sans alternative, on est oblige de passer parmis les pietons, ou sur la voie de tram, ou de s'inserer dans la circulation des vehicules sans piste cyclable",Infrastructure manquante,3,3,🔴 Difficile (Structurel),8884.0,Lyon 7_Pont Raymond Barre,228.8126104509829,🔴,CRITIQUE,4,99.34
69123,45.731522795,4.824122796,Défaut de continuité de la piste cyclable. Les travaux du tram n'arrangent rien,Infrastructure manquante,3,3,🔴 Difficile (Structurel),8884.0,Lyon 7_Pont Raymond Barre,229.78321979432005,🔴,CRITIQUE,4,99.34
69123,45.731706717,4.824357973,piste cyclable interrompue,Infrastructure manquante,3,3,🔴 Difficile (Structurel),8884.0,Lyon 7_Pont Raymond Barre,243.99161482958212,🔴,CRITIQUE,4,99.29
69123,45.731509203,4.82440148,Les cyclistes ne savent où passer pour rejoindre la bande cyclable avenue Debourg (sens O-E) et idem pour traverser le carrefour (sens E-O) et récupérer la piste vers le pont mode doux.,Carrefours dangereux,3,3,🔴 Difficile (Structurel),8884.0,Lyon 7_Pont Raymond Barre,251.19943565927005,🔴,CRITIQUE,4,99.27
