Nom_Commune,INSEE,Total_Reponses_Commune,Note_Securite,Probleme,Nombre_Signalements,Classement
Lyon,69123,6167,3.96,Infrastructure manquante,5064,1
Lyon,69123,6167,3.96,Vitesse excessive,4915,2
Lyon,69123,6167,3.96,Violence routière,3862,3
Lyon,69123,6167,3.96,Conflit piétons,3435,4
Lyon,69123,6167,3.96,Stationnement gênant,2725,5
Lyon,69123,6167,3.96,Entretien pistes,2720,6
Lyon,69123,6167,3.96,Signalisation,300,7
Lyon,69123,6167,3.96,Carrefours dangereux,188,8
Lyon,69123,6167,3.96,Stationnement vélo,14,9
Lyon,69123,6167,3.96,Limitation trafic,7,10
Villeurbanne,69266,1335,3.44,Infrastructure manquante,1159,1
Villeurbanne,69266,1335,3.44,Vitesse excessive,1128,2
Villeurbanne,69266,1335,3.44,Violence routière,902,3
Villeurbanne,69266,1335,3.44,Conflit piétons,793,4
Villeurbanne,69266,1335,3.44,Entretien pistes,731,5
Villeurbanne,69266,1335,3.44,Stationnement gênant,505,6
Villeurbanne,69266,1335,3.44,Signalisation,51,7
Villeurbanne,69266,1335,3.44,Carrefours dangereux,38,8
Villeurbanne,69266,1335,3.44,Stationnement vélo,2,9
Villeurbanne,69266,1335,3.44,Limitation trafic,1,10
Caluire-et-Cuire,69034,436,2.81,Infrastructure manquante,370,1
Caluire-et-Cuire,69034,436,2.81,Vitesse excessive,343,2
Caluire-et-Cuire,69034,436,2.81,Violence routière,274,3
Caluire-et-Cuire,69034,436,2.81,Conflit piétons,253,4
Caluire-et-Cuire,69034,436,2.81,Entretien pistes,219,5
Caluire-et-Cuire,69034,436,2.81,Stationnement gênant,156,6
Caluire-et-Cuire,69034,436,2.81,Carrefours dangereux,17,7
Caluire-et-Cuire,69034,436,2.81,Signalisation,12,8
Caluire-et-Cuire,69034,436,2.81,Stationnement vélo,2,9
Oullins-Pierre-Bénite,69149,385,2.59,Vitesse excessive,305,1
Oullins-Pierre-Bénite,69149,385,2.59,Infrastructure manquante,287,2
Oullins-Pierre-Bénite,69149,385,2.59,Violence routière,223,3
Oullins-Pierre-Bénite,69149,385,2.59,Conflit piétons,195,4
Oullins-Pierre-Bénite,69149,385,2.59,Stationnement gênant,151,5
Oullins-Pierre-Bénite,69149,385,2.59,Entretien pistes,142,6
Oullins-Pierre-Bénite,69149,385,2.59,Signalisation,6,7
Oullins-Pierre-Bénite,69149,385,2.59,Carrefours dangereux,3,8
Bron,69029,284,3.56,Infrastructure manquante,243,1
Bron,69029,284,3.56,Vitesse excessive,221,2
Bron,69029,284,3.56,Violence routière,156,3
Bron,69029,284,3.56,Conflit piétons,146,4
Bron,69029,284,3.56,Stationnement gênant,129,5
Bron,69029,284,3.56,Entretien pistes,118,6
Bron,69029,284,3.56,Signalisation,16,7
Bron,69029,284,3.56,Carrefours dangereux,15,8
Bron,69029,284,3.56,Stationnement vélo,1,9
Bron,69029,284,3.56,Limitation trafic,1,10
Meyzieu,69282,268,3.22,Infrastructure manquante,218,1
Meyzieu,69282,268,3.22,Vitesse excessive,182,2
Meyzieu,69282,268,3.22,Entretien pistes,143,3
Meyzieu,69282,268,3.22,Stationnement gênant,133,4
Meyzieu,69282,268,3.22,Violence routière,113,5
Meyzieu,69282,268,3.22,Conflit piétons,100,6
Meyzieu,69282,268,3.22,Signalisation,8,7
Meyzieu,69282,268,3.22,Carrefours dangereux,1,8
Meyzieu,69282,268,3.22,Stationnement vélo,1,9
Chassieu,69271,220,3.97,Infrastructure manquante,176,1
Chassieu,69271,220,3.97,Vitesse excessive,155,2
Chassieu,69271,220,3.97,Entretien pistes,106,3
Chassieu,69271,220,3.97,Stationnement gênant,105,4
Chassieu,69271,220,3.97,Violence routière,84,5
Chassieu,69271,220,3.97,Conflit piétons,75,6
Chassieu,69271,220,3.97,Signalisation,4,7
Chassieu,69271,220,3.97,Carrefours dangereux,2,8
Vaulx-en-Velin,69256,199,2.62,Infrastructure manquante,175,1
Vaulx-en-Velin,69256,199,2.62,Vitesse excessive,168,2
Vaulx-en-Velin,69256,199,2.62,Violence routière,124,3
Vaulx-en-Velin,69256,199,2.62,Entretien pistes,116,4
Vaulx-en-Velin,69256,199,2.62,Conflit piétons,108,5
Vaulx-en-Velin,69256,199,2.62,Stationnement gênant,72,6
Vaulx-en-Velin,69256,199,2.62,Carrefours dangereux,9,7
Vaulx-en-Velin,69256,199,2.62,Stationnement vélo,3,8
Vaulx-en-Velin,69256,199,2.62,Signalisation,3,9
Saint-Priest,69290,192,2.9,Infrastructure manquante,167,1
Saint-Priest,69290,192,2.9,Vitesse excessive,141,2
Saint-Priest,69290,192,2.9,Entretien pistes,128,3
Saint-Priest,69290,192,2.9,Violence routière,98,4
Saint-Priest,69290,192,2.9,Conflit piétons,86,5
Saint-Priest,69290,192,2.9,Stationnement gênant,78,6
Saint-Priest,69290,192,2.9,Carrefours dangereux,6,7
Saint-Priest,69290,192,2.9,Signalisation,5,8
Tassin-la-Demi-Lune,69244,183,2.9,Infrastructure manquante,148,1
Tassin-la-Demi-Lune,69244,183,2.9,Vitesse excessive,135,2
Tassin-la-Demi-Lune,69244,183,2.9,Violence routière,110,3
Tassin-la-Demi-Lune,69244,183,2.9,Conflit piétons,95,4
Tassin-la-Demi-Lune,69244,183,2.9,Entretien pistes,78,5
Tassin-la-Demi-Lune,69244,183,2.9,Stationnement gênant,60,6
Tassin-la-Demi-Lune,69244,183,2.9,Carrefours dangereux,9,7
Tassin-la-Demi-Lune,69244,183,2.9,Signalisation,6,8
Décines-Charpieu,69275,158,3.02,Infrastructure manquante,137,1
Décines-Charpieu,69275,158,3.02,Vitesse excessive,122,2
Décines-Charpieu,69275,158,3.02,Entretien pistes,91,3
Décines-Charpieu,69275,158,3.02,Violence routière,91,4
Décines-Charpieu,69275,158,3.02,Stationnement gênant,74,5
Décines-Charpieu,69275,158,3.02,Conflit piétons,74,6
Décines-Charpieu,69275,158,3.02,Signalisation,4,7
Décines-Charpieu,69275,158,3.02,Carrefours dangereux,2,8
Décines-Charpieu,69275,158,3.02,Stationnement vélo,1,9
Sainte-Foy-lès-Lyon,69202,155,3.5,Infrastructure manquante,117,1
Sainte-Foy-lès-Lyon,69202,155,3.5,Vitesse excessive,112,2
Sainte-Foy-lès-Lyon,69202,155,3.5,Violence routière,75,3
Sainte-Foy-lès-Lyon,69202,155,3.5,Stationnement gênant,70,4
Sainte-Foy-lès-Lyon,69202,155,3.5,Conflit piétons,63,5
Sainte-Foy-lès-Lyon,69202,155,3.5,Entretien pistes,62,6
Sainte-Foy-lès-Lyon,69202,155,3.5,Carrefours dangereux,2,7
Sainte-Foy-lès-Lyon,69202,155,3.5,Stationnement vélo,1,8
Saint-Didier-au-Mont-d'Or,69194,135,2.69,Infrastructure manquante,91,1
Saint-Didier-au-Mont-d'Or,69194,135,2.69,Vitesse excessive,86,2
Saint-Didier-au-Mont-d'Or,69194,135,2.69,Entretien pistes,56,3
Saint-Didier-au-Mont-d'Or,69194,135,2.69,Stationnement gênant,53,4
Saint-Didier-au-Mont-d'Or,69194,135,2.69,Violence routière,48,5
Saint-Didier-au-Mont-d'Or,69194,135,2.69,Conflit piétons,44,6
Saint-Didier-au-Mont-d'Or,69194,135,2.69,Signalisation,3,7
Saint-Didier-au-Mont-d'Or,69194,135,2.69,Limitation trafic,1,8
Rillieux-la-Pape,69286,117,3.08,Infrastructure manquante,92,1
Rillieux-la-Pape,69286,117,3.08,Vitesse excessive,81,2
Rillieux-la-Pape,69286,117,3.08,Violence routière,65,3
Rillieux-la-Pape,69286,117,3.08,Entretien pistes,51,4
Rillieux-la-Pape,69286,117,3.08,Conflit piétons,49,5
Rillieux-la-Pape,69286,117,3.08,Stationnement gênant,46,6
Rillieux-la-Pape,69286,117,3.08,Carrefours dangereux,3,7
Rillieux-la-Pape,69286,117,3.08,Signalisation,1,8
Rillieux-la-Pape,69286,117,3.08,Stationnement vélo,1,9
Francheville,69089,109,2.66,Infrastructure manquante,85,1
Francheville,69089,109,2.66,Vitesse excessive,84,2
Francheville,69089,109,2.66,Violence routière,56,3
Francheville,69089,109,2.66,Conflit piétons,53,4
Francheville,69089,109,2.66,Entretien pistes,47,5
Francheville,69089,109,2.66,Stationnement gênant,40,6
Francheville,69089,109,2.66,Stationnement vélo,1,7
Saint-Genis-Laval,69204,107,3.46,Vitesse excessive,90,1
Saint-Genis-Laval,69204,107,3.46,Infrastructure manquante,88,2
Saint-Genis-Laval,69204,107,3.46,Violence routière,60,3
Saint-Genis-Laval,69204,107,3.46,Conflit piétons,54,4
Saint-Genis-Laval,69204,107,3.46,Stationnement gênant,53,5
Saint-Genis-Laval,69204,107,3.46,Entretien pistes,48,6
Saint-Genis-Laval,69204,107,3.46,Signalisation,4,7
Saint-Genis-Laval,69204,107,3.46,Carrefours dangereux,2,8
Craponne,69069,107,3.1,Vitesse excessive,80,1
Craponne,69069,107,3.1,Infrastructure manquante,79,2
Craponne,69069,107,3.1,Entretien pistes,45,3
Craponne,69069,107,3.1,Violence routière,45,4
Craponne,69069,107,3.1,Stationnement gênant,43,5
Craponne,69069,107,3.1,Conflit piétons,42,6
Craponne,69069,107,3.1,Signalisation,7,7
Craponne,69069,107,3.1,Carrefours dangereux,1,8
