description;commune;travaux_id_match;longitude;latitude
;69266;155875;4.890047053;45.759841983
"";69123;158882;4.85687717;45.753343052
Tourne à gauche sur Jules Grand Clément difficile pour les cyclistes après la montée Antonin Perrin;69266;135905|155875;4.88521248;45.758084918
avec la trémie, la signalisation est étrange qd on ne connait pas les lieux;69123;185682;4.807550173;45.776683023
Travaux pas d'itinéraire bis;69123;135917;4.89764633;45.752703004
stationnement sauvage de la part des utilisateurs des garages et des hôtels. la bande cyclable est prise pour du parking ou du déchargements (concessionnaires);69244;180538;4.792024698;45.773078808
Rond point nationale 7 / BUS;69276;158717;4.861066967;45.685553202
Travaux tramway;69266;135904;4.891199387;45.755924152
Travaux tramway;69266;135922;4.876612433;45.776880423
avec les travaux il n'y a plus de piste cyclable;69266;165198;4.916086362;45.748658775
route trop étroite, circulation, travaux;69029;165198;4.904017927;45.751746241
Travaux sur l’avenue des freres lumière;69123;179810;4.865445807;45.74538403
Pas d'accès cyclable sécurisé entre piétons et véhicules motorisés (forte affluence).;69123;179810;4.865321741;45.745378324
Absence de bande cyclable sur cette portion de rue depuis 1 an;69266;135922;4.874898023;45.776725761
"Dangereux à cause des travaux ; portion cyclable inexistante dans un sens";69123;158882;4.872670179;45.755202272
tram;69266;135922;4.875993372;45.776722435
haut de montée avec feu...redémarrer en cote en velo...faire un feu velo sur du plat;69266;135905|155875;4.885166389;45.758125331
Travaux rendant impraticable l'avenue;69123;179810;4.866473205;45.745010121
pas de pistes cyclabes securisées;69123;183025;4.829736878;45.771325521
Piste cyclable dangereuse;69266;135939;4.880473616;45.769845816
circulation très dangereuse pendant la réalisation des travaux sur l'avenue Félix Faure;69123;158882;4.856160485;45.753297558
Trop étroit, bande inexistante;69040;162326;4.786920584;45.80017696
Travaux;69266;136952|155875;4.888932128;45.759226508
Travaux;69266;165198;4.898926695;45.75284071
trottoir très dangereux: beaucoup de bosses, vive allure dans la descente avec un trottoir partagé avec les piétons et les sorties de résidence et de la station de lavage;69123;180538;4.792498269;45.773488407
"";69266;136952|155875;4.888672153;45.759023745
;69266;135922;4.874042269;45.776416264
Rue en pente avec un carrefour très compliqué;69266;135905|155875;4.885164844;45.758109411
toute l'avenue pendant les travaux;69123;158882;4.85575834;45.753181682
dangereux;69266;165198;4.908117893;45.751000939
les voitures venant du sud ne voient pas les vélos arrivant de l'ouest. La zone de circulation voiture/vélo est trop petite au Sud, ce qui agace les voitures et le font sentir (vrombissement, serré);69266;135907;4.880671019;45.760113586
toute la rue Paul Verlaine est actellement difficile d'accès.;69266;134284;4.880426423;45.764013651
Avenue Félix Faure dangereuse, quel que soit le sens;69123;158882;4.873044362;45.755307925
Avenue Félix Faure terriblement dangereuse sur toute sa longueur, quel que soit le sens (absnece de voie cyclable), et à la chaussée cabossée, rendant la circulation très dangereuse;69123;158882;4.859302808;45.753597255
carrefour très anxiogène;69123;158882;4.877350228;45.754855946
travaux;69123;158882;4.864228482;45.754293146
travaux;69123;158882;4.853441105;45.752983938
Chaussée dégradée, stationnements de voitures dans tous les sens, piétons dans tous les sens, poussière.;69199;148425|182685;4.860448728;45.707950606
"";69040;162326;4.78553231;45.801469082
"";69276;158717;4.861321842;45.686908045
Partout où il y a des travaux;69123;181612;4.824099216;45.728096091
;69266;135922;4.874508966;45.776679457
"";69266;135922;4.874071895;45.776248191
Manque une vraie piste cyclable sécurisée. Voiture roule vite. Beaucoup de monde et de travaux.;69266;135939;4.880435313;45.769397487
toute la partie dès la fin de la descente de Champagne, jusqu'à la gare de Vaise... une catastrophe. Je ne comprends pas que l'itinéraire vélo soit interrompu d'un coup et qu'il n'y ait pas une poursuite de celui-ci jusqu'à une gare TCL pourtant proche!!!;69040;162326;4.786709358;45.800406838
"";69123;183025;4.830030879;45.771379168
Rue défoncée;69266;134284;4.880431041;45.764779672
Rue défoncée;69266;136952|155875;4.888904148;45.759129011
Travaux du bhns;69123;158882;4.864442385;45.754288336
Travaux voies lyonnaises + BHNS;69123;158882;4.859469482;45.753745676
Travaux BHNS;69123;158882;4.856786618;45.753423964
"";69040;162326;4.786884006;45.80032159
;69040;162326;4.785548699;45.801762863
Le croisement entre Félix Faure, les voies du tram, le chemin de fer et vivier merle est infernal;69123;158882;4.867055271;45.754563895
"";69040;162326;4.793607077;45.793949437
"";69123;153300;4.787005369;45.78707099
Travaux du tram T6, impossible de circuler en vélo;69266;155875;4.88974296;45.759541412
Croisement route piste ciclable;69266;135904;4.891212071;45.755873659
Trop de travaux;69123;158882;4.856862595;45.753488759
Travaux et rue étroite;69199;148425|182685;4.857192725;45.708164436
;69199;148424|148425|182686;4.851704622;45.709571109
trop de travaux et pas d'amenagement velo;69123;179810;4.860985304;45.746614647
Montée du 25;69040;162326;4.798286242;45.791604895
Croisement;69040;162326;4.787084263;45.80004294
Travaux en cours et carrefour dangereux: voitures sur les 2 voies;69123;181612;4.835612648;45.726419171
"";69266;134284;4.880496293;45.765317429
"";69123;158882;4.855602711;45.753265091
Carrefour dangereux;69040;153300;4.790600187;45.790887352
Catastrophique mais en cours d'aménagement;69266;165198;4.914968797;45.749024364
;69199;148425|182685;4.855272177;45.708692736
"";69123;158882|160582;4.876096318;45.755712094
;69123;158882;4.854914959;45.753111733
"";69040;162326;4.786956348;45.8001489
Travaux non stop depuis 2 ans;69123;158882;4.863513727;45.754153734
;69029;172092;4.914682255;45.722445085
"";69123;158882;4.853316316;45.752899307
Cette portion dans le sens de la montée;69123;180538;4.792851301;45.773535574
Jusqu'au début de la piste cyclable en sortie de ville;69199;148425|182685|182686;4.855191687;45.708464979
"";69266;135905;4.883811802;45.757826415
"";69123;158882;4.88380885;45.754266772
"";69123;158882;4.869035545;45.754817545
;69266;158882;4.876050781;45.754920157
;69266;155875;4.887514049;45.759044921
;69123;158882;4.86799199;45.754762403
"";69123;158882;4.885593291;45.754237142
Travaux du a l'installation de la voie lyonnaise. Mais vitesse des motorisés excessive;69044;177583;4.751043033;45.77919124
Travaux longue durée = accident avec voiture;69266;155875;4.889729443;45.759717994
Beaucoup de travaux;69199;148424|182686;4.851466786;45.709568725
"";69040;153300;4.789667816;45.790158038
Piste cyclable large et agréable mais qui finit au milieu de nulle part si ce n'est un carrefour dangereux;69081;170044;4.769542583;45.766244673
;69266;176350;4.890703248;45.782623812
Avec les travaux qui durent depuis un moment, l'Avenue des Frères Lumière est devenue difficilement empruntable.;69123;179810;4.86687442;45.744926075
;69040;162326;4.786941068;45.800140198
;69040;162326;4.792771613;45.794815665
Actuellement à cause des travaux : passage dangereux;69123;158882;4.854242656;45.753055416
Carrefour Yves Farge / 11 novembre 1918;69259;158717;4.861663332;45.688660476
Circulation infernale avec les travaux;69123;158882;4.866903613;45.754599703
"";69266;155875;4.889091587;45.75996464
Avenue tony garnier;69123;181612;4.835091752;45.726368615
Le carrefour est dangereux pour les vélos : surtout si on vient de l'ouest, et qu'on veut tourner à gauche vers le nord.;69123;158882;4.863173207;45.754136044
Les travaux ont rendue l’avenue très dangereuse pour les vélos. Très peu d’aménagement y compris pour les piétons.;69123;181612;4.833991657;45.726515664
Mais quelle galère cet endroit ! Même les voitures ont peur !;69266;176350;4.890624138;45.782611147
Avenue Roger Salengro;69266;135922|135941;4.873373973;45.776540949
La piste cyclable sous la doua n'est vraiment pas en bonne état, l'espace est la rue est large pourquoi ne pas réaliser une piste plus conséquente séparé des piétons;69266;135941;4.872446708;45.778997748
;69266;134284|135907;4.88077706;45.76194933
Quand on va du Nord vers le Sud, si on arrive au feu rouge, il faut s'arrêter dans le sens de la montée et la pente est forte. C'est compliqué de redémarrer sans assistance électrique. On est donc très tenté de griller le feu, pour ne pas perdre son élan dans la montée.;69266;135905|155875;4.885111648;45.758291905
Travaux interminables dans cette rue;69123;158882;4.8568301;45.753405673
Rue Émile Zola;69256;170406;4.919188409;45.77754844
;69123;179810;4.861501799;45.746579096
;69123;179810;4.86749402;45.744836747
"";69123;179810;4.870313889;45.744119294
avenue lanessan - dangereux - vite la piste cyclable....;69040;162326;4.794873497;45.792809855
Travaux tram, stationnement anarchique voitures, vitesse excessive 2 roues motorisés et voitures;69199;148425|182685;4.858651193;45.708058821
Toutes les intersections ainsi que la rue dans son intégralité sont très dangeureuses depuis le début des travaux pour les mobilités douces (plus d'un an déjà et ce n'est pas fini);69123;158882;4.854329188;45.753061057
La route de Genas est le le plus gros frein qui m'empêche de prendre le vélo quotidiennement pour aller au travail. Après quelques mois d'essais à vélo sur cette route j'ai préférer arrêter avant de subir des dommages physiques. Il faudrait revoir le partage de la route entre vélo/voiture/bus. A noter qu'il est toujours préférable d'avoir une voie dédiée au vélo.;69029;165198;4.903914995;45.751754783
